172.19.0.1 - - [29/Apr/2026:14:54:11 +0000] "POST /api/auth/register HTTP/1.1" 200 223 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; ru-RU) WindowsPowerShell/5.1.26100.8115"
172.18.0.1 - - [04/May/2026:15:42:25 +0000] "GET / HTTP/1.1" 403 177 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
172.18.0.1 - - [04/May/2026:15:43:19 +0000] "GET /api HTTP/1.1" 403 240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
172.18.0.1 - - [04/May/2026:15:43:24 +0000] "GET / HTTP/1.1" 403 177 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
172.18.0.1 - - [04/May/2026:17:15:26 +0000] "POST /api/test-result HTTP/1.1" 403 132 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; ru-RU) WindowsPowerShell/5.1.26100.8115"
172.18.0.1 - - [04/May/2026:17:20:58 +0000] "GET /api/health HTTP/1.1" 200 113 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:21:25 +0000] "GET /test-chat/health HTTP/1.1" 200 15 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:22:54 +0000] "POST /api/auth/register HTTP/1.1" 500 16531 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:23:29 +0000] "POST /api/auth/register HTTP/1.1" 400 16483 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:24:48 +0000] "POST /api/auth/register HTTP/1.1" 200 221 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:26:21 +0000] "POST /api/auth/login HTTP/1.1" 200 211 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:26:52 +0000] "GET /api/users/me HTTP/1.1" 200 173 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:27:20 +0000] "POST /api/test-result HTTP/1.1" 404 14549 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:45:23 +0000] "POST /api/auth/login HTTP/1.1" 200 211 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:45:45 +0000] "POST /api/test-result HTTP/1.1" 500 15400 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:48:56 +0000] "POST /api/auth/register HTTP/1.1" 500 16524 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:49:06 +0000] "POST /api/auth/login HTTP/1.1" 200 211 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:49:44 +0000] "POST /api/test-result HTTP/1.1" 500 15400 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:53:51 +0000] "POST /api/test-result HTTP/1.1" 500 15407 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:54:27 +0000] "POST /api/auth/login HTTP/1.1" 200 211 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:54:52 +0000] "GET /api/users/me HTTP/1.1" 200 173 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:55:09 +0000] "GET /api/test-result HTTP/1.1" 405 15184 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:17:55:13 +0000] "POST /api/test-result HTTP/1.1" 500 15400 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:05:36 +0000] "POST /api/auth/login HTTP/1.1" 403 17543 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:06:02 +0000] "POST /api/auth/login HTTP/1.1" 403 17543 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:06:25 +0000] "POST /api/auth/login HTTP/1.1" 400 16386 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:06:46 +0000] "POST /api/auth/login HTTP/1.1" 403 17543 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:11:45 +0000] "POST /api/auth/register HTTP/1.1" 200 220 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:12:26 +0000] "POST /api/auth/login HTTP/1.1" 400 16386 "-" "PostmanRuntime/7.53.0"
172.18.0.1 - - [04/May/2026:18:12:36 +0000] "POST /api/auth/login HTTP/1.1" 200 211 "-" "PostmanRuntime/7.53.0"
